Fiscal Year,Region Code,Prefecture,Self-sufficiency ratio for food in calorie base 【%】,Annotation
FY2008,01000,Hokkaido,210,
FY2009,01000,Hokkaido,190,
FY2010,01000,Hokkaido,174,
FY2011,01000,Hokkaido,191,
FY2012,01000,Hokkaido,200,
FY2013,01000,Hokkaido,198,
FY2014,01000,Hokkaido,207,
FY2015,01000,Hokkaido,222,
FY2016,01000,Hokkaido,185,
FY2017,01000,Hokkaido,206,
FY2018,01000,Hokkaido,196,
FY2019,01000,Hokkaido,216,
FY2008,02000,Aomori-ken,121,
FY2009,02000,Aomori-ken,121,
FY2010,02000,Aomori-ken,120,
FY2011,02000,Aomori-ken,112,
FY2012,02000,Aomori-ken,118,
FY2013,02000,Aomori-ken,118,
FY2014,02000,Aomori-ken,124,
FY2015,02000,Aomori-ken,124,
FY2016,02000,Aomori-ken,120,
FY2017,02000,Aomori-ken,117,
FY2018,02000,Aomori-ken,120,
FY2019,02000,Aomori-ken,123,
FY2008,03000,Iwate-ken,106,
FY2009,03000,Iwate-ken,108,
FY2010,03000,Iwate-ken,112,
FY2011,03000,Iwate-ken,103,
FY2012,03000,Iwate-ken,105,
FY2013,03000,Iwate-ken,105,
FY2014,03000,Iwate-ken,111,
FY2015,03000,Iwate-ken,110,
FY2016,03000,Iwate-ken,103,
FY2017,03000,Iwate-ken,101,
FY2018,03000,Iwate-ken,106,
FY2019,03000,Iwate-ken,107,
FY2008,04000,Miyagi-ken,76,
FY2009,04000,Miyagi-ken,79,
FY2010,04000,Miyagi-ken,81,
FY2011,04000,Miyagi-ken,69,
FY2012,04000,Miyagi-ken,72,
FY2013,04000,Miyagi-ken,74,
FY2014,04000,Miyagi-ken,76,
FY2015,04000,Miyagi-ken,73,
FY2016,04000,Miyagi-ken,72,
FY2017,04000,Miyagi-ken,70,
FY2018,04000,Miyagi-ken,74,
FY2019,04000,Miyagi-ken,73,
FY2008,05000,Akita-ken,176,
FY2009,05000,Akita-ken,174,
FY2010,05000,Akita-ken,172,
FY2011,05000,Akita-ken,178,
FY2012,05000,Akita-ken,177,
FY2013,05000,Akita-ken,181,
FY2014,05000,Akita-ken,191,
FY2015,05000,Akita-ken,197,
FY2016,05000,Akita-ken,192,
FY2017,05000,Akita-ken,188,
FY2018,05000,Akita-ken,190,
FY2019,05000,Akita-ken,205,
FY2008,06000,Yamagata-ken,133,
FY2009,06000,Yamagata-ken,134,
FY2010,06000,Yamagata-ken,139,
FY2011,06000,Yamagata-ken,132,
FY2012,06000,Yamagata-ken,133,
FY2013,06000,Yamagata-ken,136,
FY2014,06000,Yamagata-ken,142,
FY2015,06000,Yamagata-ken,142,
FY2016,06000,Yamagata-ken,139,
FY2017,06000,Yamagata-ken,137,
FY2018,06000,Yamagata-ken,135,
FY2019,06000,Yamagata-ken,145,
FY2008,07000,Fukushima-ken,85,
FY2009,07000,Fukushima-ken,87,
FY2010,07000,Fukushima-ken,90,
FY2011,07000,Fukushima-ken,72,
FY2012,07000,Fukushima-ken,72,
