date,product,daily_orders
2023-01-15,Product A,91
2023-01-16,Product A,137
2023-01-17,Product A,159
2023-01-18,Product A,178
2023-01-19,Product A,171
2023-01-20,Product A,183
2023-01-21,Product A,167
2023-01-22,Product A,162
2023-01-23,Product A,236
2023-01-24,Product A,276
2023-01-25,Product A,281
2023-01-26,Product A,293
2023-01-27,Product A,325
2023-01-28,Product A,242
2023-01-29,Product A,246
2023-01-30,Product A,404
2023-01-31,Product A,438
2023-02-01,Product A,500
2023-02-02,Product A,489
2023-02-03,Product A,507
2023-02-04,Product A,486
2023-02-05,Product A,449
2023-02-06,Product A,700
2023-02-07,Product A,716
2023-02-08,Product A,796
2023-02-09,Product A,852
2023-02-10,Product A,845
2023-02-11,Product A,755
2023-02-12,Product A,717
2023-02-13,Product A,1112
2023-02-14,Product A,1200
2023-02-15,Product A,1425
2023-02-16,Product A,1339
2023-02-17,Product A,1334
2023-02-18,Product A,1202
2023-02-19,Product A,1072
2023-02-20,Product A,1745
2023-02-21,Product A,1693
2023-02-22,Product A,1830
2023-02-23,Product A,2014
2023-02-24,Product A,2152
2023-02-25,Product A,1698
2023-02-26,Product A,1638
2023-02-27,Product A,2429
2023-02-28,Product A,2456
2023-03-01,Product A,2640
2023-03-02,Product A,2692
2023-03-03,Product A,2985
2023-03-04,Product A,2313
2023-03-05,Product A,2007
2023-03-06,Product A,3309
2023-03-07,Product A,3396
2023-03-08,Product A,3417
2023-03-09,Product A,3627
2023-03-10,Product A,3767
2023-03-11,Product A,2974
2023-03-12,Product A,2608
2023-03-13,Product A,3925
2023-03-14,Product A,4266
2023-03-15,Product A,4452
2023-03-16,Product A,4084
2023-03-17,Product A,4181
2023-03-18,Product A,3135
2023-03-19,Product A,2964
2023-03-20,Product A,4764
2023-03-21,Product A,5106
2023-03-22,Product A,4783
2023-03-23,Product A,4934
2023-03-24,Product A,4791
2023-03-25,Product A,3558
2023-03-26,Product A,3534
2023-03-27,Product A,5397
2023-03-28,Product A,5196
2023-03-29,Product A,5605
2023-03-30,Product A,4399
2023-03-31,Product A,5255
2023-04-01,Product A,3943
2023-04-02,Product A,3636
2023-04-03,Product A,5332
2023-04-04,Product A,4948
2023-04-05,Product A,5407
2023-04-06,Product A,5401
2023-04-07,Product A,5664
2023-04-08,Product A,3985
2023-04-09,Product A,3680
2023-04-10,Product A,5364
2023-04-11,Product A,5941
2023-04-12,Product A,5734
2023-04-13,Product A,5319
2023-04-14,Product A,5559
2023-04-15,Product A,4217
2023-04-16,Product A,4118
2023-04-17,Product A,5427
2023-04-18,Product A,5704
2023-04-19,Product A,5637
2023-04-20,Product A,5155
2023-04-21,Product A,5592
2023-04-22,Product A,4317
2023-04-23,Product A,3984
2023-04-24,Product A,5632
2023-04-25,Product A,5454
2023-04-26,Product A,5692
2023-04-27,Product A,5523
2023-04-28,Product A,5339
2023-04-29,Product A,4263
2023-04-30,Product A,4096
2023-05-01,Product A,6281
2023-05-02,Product A,5958
2023-05-03,Product A,5923
2023-05-04,Product A,5626
2023-05-05,Product A,5051
2023-05-06,Product A,4309
2023-05-07,Product A,4040
2023-05-08,Product A,6464
2023-05-09,Product A,5863
2023-05-10,Product A,5946
2023-05-11,Product A,5644
2023-05-12,Product A,5264
2023-05-13,Product A,4562
2023-05-14,Product A,4179
2023-05-15,Product A,5980
2023-05-16,Product A,5645
2023-05-17,Product A,6260
2023-05-18,Product A,5249
2023-05-19,Product A,5743
2023-05-20,Product A,4777
2023-05-21,Product A,3817
2023-05-22,Product A,5571
2023-05-23,Product A,5923
2023-05-24,Product A,5680
2023-05-25,Product A,5185
2023-05-26,Product A,5573
2023-05-27,Product A,4057
2023-05-28,Product A,4090
2023-05-29,Product A,5440
2023-05-30,Product A,6314
2023-05-31,Product A,5565
2023-06-01,Product A,5495
2023-06-02,Product A,5742
2023-06-03,Product A,3993
2023-06-04,Product A,4012
2023-06-05,Product A,6030
2023-06-06,Product A,5347
2023-06-07,Product A,5799
2023-06-08,Product A,5611
2023-06-09,Product A,5684
2023-06-10,Product A,3957
2023-06-11,Product A,3671
2023-06-12,Product A,5754
2023-06-13,Product A,5845
2023-06-14,Product A,5761
2023-06-15,Product A,5579
2023-06-16,Product A,5231
2023-06-17,Product A,4222
2023-06-18,Product A,3946
2023-06-19,Product A,5348
2023-06-20,Product A,6226
2023-06-21,Product A,5758
2023-06-22,Product A,5098
2023-06-23,Product A,5526
2023-06-24,Product A,3922
2023-06-25,Product A,3993
2023-06-26,Product A,5795
2023-06-27,Product A,5392
2023-06-28,Product A,5820
2023-06-29,Product A,5460
2023-06-30,Product A,5497
2023-07-01,Product A,4454
2023-07-02,Product A,3743
2023-07-03,Product A,5199
2023-07-04,Product A,5298
2023-07-05,Product A,5251
2023-07-06,Product A,5253
2023-07-07,Product A,5293
2023-07-08,Product A,4064
2023-07-09,Product A,3888
2023-07-10,Product A,5325
2023-07-11,Product A,5858
2023-07-12,Product A,5320
2023-07-13,Product A,5899
2023-07-14,Product A,5283
2023-07-15,Product A,3777
2023-07-16,Product A,3477
2023-07-17,Product A,5363
2023-07-18,Product A,5313
2023-07-19,Product A,5493
2023-07-20,Product A,5229
2023-07-21,Product A,5021
2023-07-22,Product A,3716
2023-07-23,Product A,3339
2023-07-24,Product A,5034
2023-07-25,Product A,5509
2023-07-26,Product A,5270
2023-07-27,Product A,4708
2023-07-28,Product A,4996
2023-07-29,Product A,3887
2023-07-30,Product A,3394
2023-07-31,Product A,5099
2023-08-01,Product A,5206
2023-08-02,Product A,4830
2023-08-03,Product A,5021
2023-08-04,Product A,5002
2023-08-05,Product A,3950
2023-08-06,Product A,3672
2023-08-07,Product A,4628
2023-08-08,Product A,4860
2023-08-09,Product A,5162
2023-08-10,Product A,4970
2023-08-11,Product A,4903
2023-08-12,Product A,4390
2023-08-13,Product A,3524
2023-08-14,Product A,5160
2023-08-15,Product A,5248
2023-08-16,Product A,5104
2023-08-17,Product A,4685
2023-08-18,Product A,4874
2023-08-19,Product A,3476
2023-08-20,Product A,3326
2023-08-21,Product A,4680
2023-08-22,Product A,4942
2023-08-23,Product A,5419
2023-08-24,Product A,4241
2023-08-25,Product A,4772
2023-08-26,Product A,3267
2023-08-27,Product A,3230
2023-08-28,Product A,4972
2023-08-29,Product A,4853
2023-08-30,Product A,4518
2023-08-31,Product A,4434
2023-09-01,Product A,4691
2023-09-02,Product A,3367
2023-09-03,Product A,3289
2023-09-04,Product A,4649
2023-09-05,Product A,4604
2023-09-06,Product A,5202
2023-09-07,Product A,4669
2023-09-08,Product A,4013
2023-09-09,Product A,3472
2023-09-10,Product A,3098
2023-09-11,Product A,4762
2023-09-12,Product A,4502
2023-09-13,Product A,4602
2023-09-14,Product A,4571
2023-09-15,Product A,4591
2023-09-16,Product A,3187
